brand,phone_name,condition1,oldprice,newprice,ram,rom,condition2
,Samsung Galaxy S20 Plus,cũ,5.490.000 ₫,7.890.000 ₫,8 GB,128 GB,used
Samsung,Samsung Galaxy S22 Ultra,cũ đẹp 99%,12.190.000 ₫,30.990.000 ₫,12 GB,256 GB,New
Apple,iPhone 12 Pro,cũ đẹp 99%,11.290.000 ₫,Liên hệ,6 GB,256 GB,used
,iPhone 14 Pro,cũ đẹp 99%,19.490.000 ₫,29.990.000 ₫,6GB,1 TB,new
,iPhone 14 Pro,,14.990.000 ₫,31.990.000 ₫,,,
,Sony Xperia 1 III,Cũ 99%,7.990.000 ₫,15.990.000 ₫,12 GB,256 GB,used
Apple,iPhone X,cũ đẹp 99%,4.690.000 ₫,9.490.000 ₫,3 GB,64 GB,Đã qua sử dụng
,iPhone 12 mini,cũ đẹp 99%,6.190.000 ₫,Liên hệ,,,
Apple,iPhone Xs MAX,cũ đẹp 99%,8.090.000 ₫,15.890.000 ₫,4 GB,512 GB,used
,Điện thoại Sony Xperia 5 II,cũ 99%,4.190.000 ₫,6.990.000 ₫,8 GB,128 GB,used
,Samsung Galaxy S20,Cũ,4.990.000 ₫,11.990.000 ₫,8 GB,128 GB,used
Apple,iPhone 12 Pro,cũ đẹp 99%,11.790.000 ₫,32.990.000 ₫,6 GB,512GB,used
Apple,iPad Gen 6 Wifi,cũ 99%,3.990.000 ₫,7.990.000 ₫,2GB,32 GB,used
Apple,iPad Air 2 LTE,Cũ 98%,2.490.000 ₫,6.990.000 ₫,2GB,16GB,used
Apple,iPad Air 2 LTE,cũ 99%,2.699.000 ₫,7.990.000 ₫,2GB,32 GB,used
Apple,iPad Air 1 Wifi,cũ 99%,1.990.000 ₫,4.990.000 ₫,1GB,16GB,Đã qua sử dụng
Apple,iPad Air 1 LTE,cũ 99%,1.990.000 ₫,4.990.000 ₫,1GB,16GB,used
,iPhone 13,Cũ 99%,13.690.000 ₫,24.490.000 ₫,,128 GB,new
Apple,iPad Air 2 LTE,cũ 99%,2.490.000 ₫,6.990.000 ₫,2GB,16GB,used
Apple,Apple iPhone 12 Mini,cũ 99%,6.990.000 ₫,Liên hệ,4 GB,128 GB,Đã qua sử dụng
Apple,Apple iPhone 11 Pro MAX Lock,,6.990.000 ₫,18.100.000 ₫,4 GB,64 GB,Đã qua sử dụng
Apple,iPad Mini 4,cũ 99%,2.690.000 ₫,6.490.000 ₫,2GB,16GB,used
Apple,"iPad Gen 5 9.7"" 2017 LTE",cũ 99%,4.290.000 ₫,7.490.000 ₫,2GB,32 GB,used
,iPhone 13 Pro Max,Cũ đẹp 99%,17.390.000 ₫,34.990.000 ₫,,512GB,used
,iPhone 12 Lock,Cũ,5.690.000 ₫,8.090.000 ₫,4 GB,64 GB,"used, Đã qua sử dụng"
,iPhone 13 Pro,cũ đẹp 99%,15.390.000 ₫,20.790.000 ₫,,512GB,used
Samsung,Samsung Galaxy S23 Ultra,Cũ Đẹp 99%,16.990.000 ₫,31.990.000 ₫,8Gb,256 GB,new
Samsung,Samsung Galaxy Z Flip4,TBH,10.490.000 ₫,25.990.000 ₫,8 GB,128 GB,new
,iPhone 14 Pro Max,cũ đẹp 99%,22.990.000 ₫,Liên hệ,,,
,iPhone 15 Plus Lock,,14.790.000 ₫,Liên hệ,,,
Samsung,Samsung Galaxy S23 Plus,Cũ Đẹp 99%,12.990.000 ₫,26.990.000 ₫,8Gb,256 GB,new
Apple,iPhone X,Mới 100% TBH,5.990.000 ₫,9.490.000 ₫,3 GB,64 GB,Đã qua sử dụng
Apple,iPhone 12 Pro Max Lock,Cũ,10.690.000 ₫,13.290.000 ₫,6 GB,128 GB,"Used, Đã qua sử dụng"
Apple,iPhone 11 Pro max,cũ chính hãng 99%,10.790.000 ₫,23.990.000 ₫,4 GB,512GB,used
Apple,iPhone 11,cũ 99%,7.890.000 ₫,15.790.000 ₫,4 GB,256 GB,Đã qua sử dụng
,iPhone 11 Pro,cũ đẹp 99%,8.990.000 ₫,18.990.000 ₫,4 GB,256 GB,used
,iPhone 6,cũ đẹp 99%,Liên hệ,Liên hệ,,,
,Samsung Galaxy Note 20 Ultra,Cũ,8.690.000 ₫,Liên hệ,12 GB,128GB,used
Samsung,Samsung Galaxy S22,cũ đẹp 99%,7.390.000 ₫,21.990.000 ₫,8Gb,256 GB,New
Apple,iPhone 12 Pro Max,cũ đẹp 99%,14.990.000 ₫,33.990.000 ₫,6 GB,512GB,"used, Used"
,iPhone 14 Plus Lock,cũ,11.490.000 ₫,28.990.000 ₫,6 GB,128GB,new
Apple,iPhone 14 Pro Max,cũ đẹp 99%,22.990.000 ₫,51.990.000 ₫,6GB,1 TB,new
Apple,iPhone 14 Pro Max,cũ đẹp 99%,22.990.000 ₫,51.990.000 ₫,6GB,1 TB,new
Apple,Apple iPhone SE 2020,cũ 99%,3.790.000 ₫,7.490.000 ₫,3 GB,64 GB,used
Apple,iPhone 14 Pro Max Lock,,18.790.000 ₫,33.990.000 ₫,6GB,128GB,new
Apple,Apple iPhone 7 plus,cũ 99%,3.390.000 ₫,5.990.000 ₫,3 GB,32 GB,Đã qua sử dụng
,Samsung Galaxy S10e Mỹ,Cũ,3.990.000 ₫,7.790.000 ₫,6GB,128 GB,used
,iPhone 15 Pro Max,cũ đẹp 99%,28.690.000 ₫,33.990.000 ₫,,,
,Google Pixel 8 Pro Quốc Tế,,16.990.000 ₫,25.990.000 ₫,12 GB,128GB,
,Google Pixel 8a,,9.490.000 ₫,12.990.000 ₫,8GB,128GB,New
,Google Pixel 5,cũ 99%,4.390.000 ₫,8.990.000 ₫,8Gb,128 GB,used
Apple,Apple iPhone SE 2020,cũ 99%,4.190.000 ₫,7.490.000 ₫,3 GB,64 GB,used
,Sony Xperia 1 II,Cũ 99%,4.590.000 ₫,6.990.000 ₫,8Gb,128 MB,used
Apple,Apple iPad Gen 7 2019 WIFI,cũ 99%,5.490.000 ₫,8.190.000 ₫,3 GB,32 GB,used
Apple,Apple iPad Gen 8 WIFI,cũ 99%,4.490.000 ₫,8.190.000 ₫,3 GB,32 GB,used
Apple,Apple iPad Gen 8,Cũ 99%,4.990.000 ₫,8.190.000 ₫,3 GB,32 GB,used
,"iPad Gen 9 10.2"" 2021 WiFi",Cũ | Chính hãng Việt Nam,5.690.000 ₫,10.990.000 ₫,,64 GB,new
Apple,Apple iPhone 7 plus,cũ 99%,3.790.000 ₫,5.990.000 ₫,3 GB,32 GB,Đã qua sử dụng
,iPhone 15 Pro Max,cũ đẹp 99%,30.990.000 ₫,33.990.000 ₫,,,
,Google Pixel 6 Pro,cũ,7.490.000 ₫,15.990.000 ₫,12 GB,128GB,used
,Google Pixel 6,Cũ,5.890.000 ₫,14.390.000 ₫,8Gb,128GB,used
,Google Pixel 6A,Cũ 99%,5.990.000 ₫,7.490.000 ₫,6 GB,128GB,new
,Google Pixel 7,Cũ 99%,7.790.000 ₫,12.990.000 ₫,8Gb,128GB,new
,Google Pixel 7 Pro,Cũ 99%,8.990.000 ₫,20.990.000 ₫,8Gb,128GB,new
,Google Pixel 7a,Mới Fullbox,9.290.000 ₫,12.990.000 ₫,8Gb,128GB,new
,Google Pixel 7 Pro,Mới Fullbox,11.990.000 ₫,20.990.000 ₫,8Gb,128GB,new
,Google Pixel 7,Mới Fullbox,10.990.000 ₫,12.990.000 ₫,8Gb,128GB,new
Samsung,Samsung Galaxy Z Flip4,cũ,7.990.000 ₫,25.990.000 ₫,8 GB,128 GB,new
Samsung,Samsung Galaxy Z Flip4,TBH,8.990.000 ₫,25.990.000 ₫,8 GB,128 GB,new
,iPhone 13,,12.990.000 ₫,24.490.000 ₫,,128 GB,new
,Apple Watch Series 6 44mm,cũ đẹp 99%,3.990.000 ₫,13.990.000 ₫,,,new
,Google Pixel 6,Cũ,6.490.000 ₫,14.390.000 ₫,8Gb,256 GB,used
,Sony Xperia 5,Cũ 99%,2.890.000 ₫,4.950.000 ₫,6 GB,64GB,used
,Samsung Galaxy Z Flip,cũ,3.990.000 ₫,24.990.000 ₫,8 GB,256 GB,
,Sony Xperia 1,Cũ 99%,3.590.000 ₫,4.990.000 ₫,6GB,64 GB,used
,Samsung Galaxy A90  Hàn,Cũ,4.990.000 ₫,6.690.000 ₫,6 GB,128 GB,
Apple,iPad Air 2 LTE,cũ 99%,3.490.000 ₫,7.990.000 ₫,2GB,64 GB,used
,Samsung Galaxy S10,Cũ,4.590.000 ₫,6.490.000 ₫,8 GB,128 GB,used
Samsung,Samsung Galaxy S22 Ultra,cũ đẹp 99%,12.990.000 ₫,30.990.000 ₫,12 GB,512 GB,New
,Samsung Galaxy S10 Lite,Cũ,3.190.000 ₫,7.190.000 ₫,,,
,Samsung Galaxy Z Fold5,Cũ đẹp 99%,20.990.000 ₫,44.990.000 ₫,,,
,iPhone 14 Pro,cũ đẹp 99%,20.990.000 ₫,Liên hệ,,,
,iPhone 14,Cũ đẹp 99%,13.090.000 ₫,19.990.000 ₫,,,
,iPhone 14 Pro,cũ đẹp 99%,19.890.000 ₫,41.990.000 ₫,,,
,Sony Xperia 5 Mark 3,,4.990.000 ₫,7.990.000 ₫,8GB,128GB,Used
,iPhone 15 Pro,cũ đẹp 99%,21.990.000 ₫,31.990.000 ₫,,,
,iPhone 15 Pro,cũ đẹp 99%,21.990.000 ₫,31.990.000 ₫,,,
,iPhone 15 Plus,Cũ đẹp 99%,20.690.000 ₫,23.990.000 ₫,,,
,Google Pixel 5A,Cũ 99%,3.990.000 ₫,7.490.000 ₫,6GB,128GB,used
,Google Pixel 4A,cũ 99%,3.190.000 ₫,5.490.000 ₫,6 GB,128GB,
,Google Pixel 4A,cũ 99%,3.790.000 ₫,5.490.000 ₫,6 GB,128GB,used
,Google Pixel 4 XL,cũ 99%,3.790.000 ₫,7.690.000 ₫,6GB,64 GB,used
,Google Pixel 4,cũ 99%,3.490.000 ₫,6.690.000 ₫,6GB,64 GB,used
,Google Pixel 3a,cũ 99%,2.390.000 ₫,2.390.000 ₫,4GB,64 GB,used
Samsung,Samsung Galaxy Z Fold4,Cũ,14.690.000 ₫,40.990.000 ₫,12 GB,256 GB,new
,Apple Watch Series 4 Lte 40mm -,Cũ đẹp 99%,2.990.000 ₫,2.990.000 ₫,768 MB RAM,16GB,new
