phone_name,condition1,oldprice,ram,rom
Oppo Reno7,Cũ đẹp,3.590.000 ₫,2 GB,16 GB
iPhone 15,Đã kích hoạt,18.090.000 ₫,,128 GB
iPhone 6S,cũ,2.390.000 ₫,,32 GB
iPhone 12 Pro Max,Đã kích hoạt,29.590.000 ₫,6 GB,512 GB
iPhone 15 Pro,Đã kích hoạt,23.690.000 ₫,,128 GB
Realme C33,Cũ Đẹp,1.990.000 ₫,4 GB,64 GB
Xiaomi Mi 10T Pro,Cũ xước cấn,4.790.000 ₫,8 GB,256 GB
iPhone 12 Pro,Cũ đẹp,13.490.000 ₫,,512 GB
iPhone 12 Pro Max,Đã kích hoạt bảo hành,19.490.000 ₫,,128 GB
iPhone 13,Đã kích hoạt,17.090.000 ₫,4 GB,128 GB
Infinix Hot 40 Pro Free Fire,Cũ xước cấn,4.290.000 ₫,,
Samsung Galaxy A14,Cũ xước cấn,2.290.000 ₫,6 GB,128 GB
iPhone Xs,Cũ trầy xước,8.490.000 ₫,,512 GB
Samsung Galaxy S21 FE,Cũ - Đẹp,7.590.000 ₫,8 GB,256 GB
iPhone 11,Cũ trầy xước,8.090.000 ₫,4 GB,128 GB
Realme C33,Đã Kích Hoạt,2.190.000 ₫,4 GB,64 GB
iPhone 13 Mini,Cũ trầy xước,11.390.000 ₫,4 GB,256 GB
iPhone 15 Pro,Đã kích hoạt,22.890.000 ₫,,128 GB
iPhone 15 Pro,Đã kích hoạt,25.390.000 ₫,,256 GB
iPhone Xs Max,Cũ đẹp,7.490.000 ₫,,64 GB
iPhone 12 Pro Max,Cũ xước cấn,13.190.000 ₫,,128 GB
Apple iPhone 8 Plus,Cũ xước cấn,5.790.000 ₫,,64 GB
Xiaomi 13T PRO,Cũ xước cấn,9.790.000 ₫,12 GB,512 GB
Xiaomi Redmi Note 12 Pro,Cũ trầy xước,4.490.000 ₫,8 GB,256 GB
Samsung Galaxy A54,Cũ Đẹp,6.690.000 ₫,8 GB,256 GB
Xiaomi Redmi Note 11 Pro Plus,Cũ Trầy Xước,4.290.000 ₫,8 GB,256 GB
iPhone 11 Pro Max,Cũ đẹp,20.790.000 ₫,4 GB,256 GB
Xiaomi 13 Lite,Cũ Trầy Xước,5.590.000 ₫,8 GB,256 GB
iPhone 13 Pro Max,Cũ Đẹp,19.690.000 ₫,6 GB,512 GB
Xiaomi Redmi Note 12S,Cũ đẹp,3.590.000 ₫,8 GB,256 GB
iPhone 11,Hàng trưng bày,13.690.000 ₫,4 GB,64 GB
iPhone 11 Pro,Đã kích hoạt bảo hành,19.290.000 ₫,4 GB,64 GB
iPhone 13 Pro Max,Đã kích hoạt bảo hành,37.390.000 ₫,6 GB,1 TB
iPhone 12 Pro Max,Đổi bảo hành,24.990.000 ₫,,256 GB
iPhone 13 Pro Max,Đổi bảo hành,21.590.000 ₫,6 GB,256 GB
iPhone 14 Pro Max,Đã kích hoạt,25.890.000 ₫,,256 GB
OPPO A77s,Cũ trầy xước,3.190.000 ₫,8 GB,128 GB
iPhone 7 Plus,cũ xước cấn,3.290.000 ₫,,32 GB
iPhone 13 Pro,Cũ trầy xước,21.690.000 ₫,6 GB,1 TB
Xiaomi Redmi 12C,Đã kích hoạt,2.090.000 ₫,4 GB,64 GB
Xiaomi Redmi 10A,Cũ Đẹp,1.790.000 ₫,3 GB,64 GB
OPPO Reno8 Z,Cũ đẹp,4.890.000 ₫,8 GB,256 GB
Samsung Galaxy A34,Cũ đẹp,4.740.000 ₫,8 GB,128 GB
Vivo Y35,Đã Kích Hoạt,3.690.000 ₫,8GB + Mở rộng 8GB,128 GB
iPhone 11,Đổi bảo hành,12.390.000 ₫,4 GB,256 GB
iPhone 13 Pro Max,Đã kích hoạt bảo hành,22.190.000 ₫,6 GB,128 GB
iPhone 14 Pro,Cũ đẹp,20.490.000 ₫,6 GB,256 GB
iPhone 12,Đã kích hoạt,22.090.000 ₫,,256 GB
Xiaomi Redmi Note 12 Pro,Đã kích hoạt,5.590.000 ₫,8 GB,256 GB
iPhone 15,Cũ trầy xước,18.590.000 ₫,6 GB,256 GB
Xiaomi Redmi 9C,cũ - đẹp,1.990.000 ₫,3 GB,64 GB
Samsung Galaxy S21 FE,Cũ - Đẹp,6.190.000 ₫,4 GB,128 GB
Oppo A76,Cũ đẹp,2.790.000 ₫,6 GB,128 GB
iPhone 13 Pro,Cũ Đẹp,16.590.000 ₫,6 GB,256 GB
iPhone SE 2022,Cũ Đẹp,7.090.000 ₫,4 GB,64 GB
iPhone 14 Plus,Cũ Trầy Xước,17.690.000 ₫,6 GB,256 GB
iPhone 13 Pro Max,Cũ Đẹp,27.890.000 ₫,6 GB,1 TB
iPhone 12 Pro Max,Cũ trầy xước,15.090.000 ₫,,256 GB
iPhone 11 Pro,Cũ đẹp,13.190.000 ₫,4 GB,256 GB
iPhone 11 Pro,Đổi bảo hành,17.990.000 ₫,4 GB,64 GB
iPhone 11 Pro Max,Cũ đẹp,13.290.000 ₫,4 GB,256 GB
iPhone 12,Đã kích hoạt,18.490.000 ₫,,64 GB
iPhone 12,Đã kích hoạt,10.090.000 ₫,,64 GB
iPhone 12 Mini,Đổi bảo hành,12.590.000 ₫,,64 GB
iPhone 12 Pro,Đã kích hoạt,24.790.000 ₫,,512 GB
iPhone 12 Pro,Đã kích hoạt,26.390.000 ₫,,256 GB
iPhone 12 Pro Max,Hàng trưng bày,28.490.000 ₫,,128 GB
iPhone 13 Mini,Đổi bảo hành,15.490.000 ₫,4 GB,128 GB
OPPO A17K,Cũ đẹp,1.990.000 ₫,3 GB,64 GB
iPhone 7 Plus,cũ xước cấn,5.190.000 ₫,,256 GB
iPhone Xs Max,Cũ xước cấn,8.090.000 ₫,,256 GB
iPhone 12,Đã kích hoạt,9.990.000 ₫,,64 GB
iPhone 12,Đã kích hoạt,19.390.000 ₫,,128 GB
iPhone 12 Pro,Cũ đẹp,16.590.000 ₫,,128 GB
Samsung Galaxy Z Fold 6,Đã kích hoạt,33.490.000 ₫,,
iPhone 12 Pro,Cũ trầy xước,12.290.000 ₫,,256 GB
iPhone 8,Chưa active - Đỏ,6.590.000 ₫,,64 GB
iPhone 11 Pro Max,Đã kích hoạt,28.000.000 ₫,4 GB,256 GB
OPPO Reno8 T,Đã Kích Hoạt,5.590.000 ₫,8 GB,128 GB
OPPO A17K,Đã Kích Hoạt,2.190.000 ₫,3 GB,64 GB
Samsung Galaxy A32,Đã Kích Hoạt,3.890.000 ₫,6 GB,128 GB
iPhone 12 Pro,Cũ xước cấn,23.190.000 ₫,,256 GB
iPhone 14 Pro Max,Cũ Trầy Xước,21.990.000 ₫,6 GB,128 GB
iPhone 13 Mini,Đổi bảo hành,18.090.000 ₫,4 GB,256 GB
iPhone 13 Pro,Đã kích hoạt bảo hành,22.990.000 ₫,6 GB,256 GB
iPhone 11 Pro,Đổi bảo hành,22.000.000 ₫,4 GB,256 GB
iPhone 13 Pro Max,Cũ trầy xước,17.090.000 ₫,6 GB,256 GB
Samsung Galaxy A25,Cũ đẹp,4.490.000 ₫,6 GB,128 GB
VIVO Y17S,Đã kích hoạt,2.490.000 ₫,4 GB,64 GB
Samsung Galaxy S20 Ultra,Cũ đẹp,8.990.000 ₫,12 GB,128 GB
iPhone 12,Cũ đẹp,15.290.000 ₫,,256 GB
iPhone XR,Đổi bảo hành,13.000.000 ₫,,64 GB
iPhone 13,Đã Kích Hoạt,20.790.000 ₫,4 GB,256 GB
iPhone 13 Pro,Đã kích hoạt,26.290.000 ₫,6 GB,256 GB
iPhone SE 2022,Cũ Đẹp,7.090.000 ₫,4 GB,64 GB
iPhone 12 Pro,Cũ trầy xước,17.590.000 ₫,,128 GB
iPhone 13 Pro Max,Đã kích hoạt,31.990.000 ₫,6 GB,256 GB
iPhone 13 Pro,Đã kích hoạt,24.290.000 ₫,6 GB,256 GB
iPhone 11 Pro,Đổi bảo hành,22.300.000 ₫,4 GB,256 GB
iPhone 11 Pro,Đổi bảo hành,18.790.000 ₫,4 GB,64 GB
iPhone 11 Pro Max,Đổi bảo hành,23.990.000 ₫,4 GB,256 GB
iPhone 12,Đã kích hoạt bảo hành,19.790.000 ₫,,256 GB
iPhone 12 Mini,Đã kích hoạt,17.590.000 ₫,4 GB,256 GB
iPhone 12 Mini,Đã kích hoạt,14.490.000 ₫,,64 GB
iPhone 12 Pro,Đã kích hoạt bảo hành,25.690.000 ₫,,256 GB
iPhone 12 Pro Max,Đã kích hoạt,25.490.000 ₫,,256 GB
iPhone 13 Mini,Đã kích hoạt bảo hành,14.690.000 ₫,4 GB,128 GB
iPhone 12,Cũ xước cấn,12.090.000 ₫,,64 GB
iPhone 13 Pro Max,Đổi bảo hành,34.190.000 ₫,6 GB,256 GB
Realme C51,Đã kích hoạt,3.190.000 ₫,6GB,256 GB
Masstel izi T2,Cũ đẹp,400.000 ₫,48MB,128 MB
Samsung Galaxy A04S,Đã kích hoạt,2.490.000 ₫,4 GB,64 GB
Samsung Galaxy A52s,Đã Kích Hoạt,5.490.000 ₫,8 GB,128 GB
Samsung Galaxy A22,đã kích hoạt,3.290.000 ₫,6 GB,128 GB
iPhone 7 Plus,Cũ xước cấn,4.390.000 ₫,,128 GB
iPhone 13 Pro,Cũ trầy xước,20.690.000 ₫,6 GB,256 GB
iPhone 11,Đổi bảo hành,9.390.000 ₫,4 GB,128 GB
Samsung Galaxy S22 Ultra,Cũ Xước Cấn,13.590.000 ₫,12 GB,512 GB
iPhone Xs Max,Cũ đẹp,8.090.000 ₫,,256 GB
iPhone SE 2020,,8.090.000 ₫,3 GB,128 GB
iPhone SE 2020,Đổi bảo hành,10.490.000 ₫,3 GB,256 GB
iPhone SE 2020,Đổi bảo hành,9.090.000 ₫,3 GB,64 GB
iPhone SE 2022,Đã Kích Hoạt,9.990.000 ₫,4 GB,128 GB
iPhone XR,Cũ đẹp,5.590.000 ₫,,64 GB
iPhone XR,Đã kích hoạt bảo hành VN/A,8.090.000 ₫,,64 GB
iPhone Xs Max,Cũ đẹp lỗi Face ID,10.790.000 ₫,,512 GB
Xiaomi Redmi Note 11 Pro,Cũ đẹp,4.090.000 ₫,8 GB,128 GB
iPhone 13 Pro,Đổi bảo hành,24.890.000 ₫,6 GB,256 GB
OPPO A17,Đã Kích Hoạt,2.790.000 ₫,4 GB,64 GB
Xiaomi Redmi Note 12,Đã Kích Hoạt,3.290.000 ₫,4 GB,128 GB
iPhone Xs,Cũ đẹp,10.290.000 ₫,,256 GB
iPhone Xs Max,Cũ đẹp lỗi Face ID,8.500.000 ₫,,256 GB
iPhone SE 2020,Đổi bảo hành,9.190.000 ₫,3 GB,64 GB
iPhone SE 2022,Đã Kích Hoạt,10.190.000 ₫,4 GB,128 GB
iPhone SE 2022,Cũ Xước Cấn,6.090.000 ₫,4 GB,64 GB
iPhone Xs Max,Cũ đẹp lỗi Face ID,8.500.000 ₫,,256 GB
iPhone SE 2020,Đổi bảo hành,9.190.000 ₫,3 GB,64 GB
iPhone SE 2022,Đã Kích Hoạt,10.190.000 ₫,4 GB,128 GB
iPhone SE 2022,Cũ Xước Cấn,6.090.000 ₫,4 GB,64 GB
iPhone 11,Cũ trầy xước,13.090.000 ₫,4 GB,128 GB
iPhone 12 mini,Đổi bảo hành,13.490.000 ₫,,128 GB
iPhone 13,Cũ Đẹp,13.390.000 ₫,4 GB,256 GB
iPhone 13 Mini,Đã kích hoạt bảo hành,17.990.000 ₫,4 GB,256 GB
iPhone 13 Pro,Đổi bảo hành,24.990.000 ₫,6 GB,128 GB
iPhone 12,Đổi bảo hành,22.090.000 ₫,,256 GB
iPhone 12 Mini,Đổi bảo hành,13.990.000 ₫,,128 GB
iPhone 12 Mini,Đổi bảo hành,17.590.000 ₫,4 GB,256 GB
iPhone 12 Pro,Đã kích hoạt bảo hành,18.490.000 ₫,6 GB,128 GB
iPhone 12 Pro,Cũ xước cấn,19.690.000 ₫,,128 GB
iPhone 12 Pro Max,Đã kích hoạt,26.490.000 ₫,,128 GB
iPhone 12 Pro Max,Đổi bảo hành,24.390.000 ₫,,128 GB
iPhone 12 Pro Max,Đã kích hoạt bảo hành,27.490.000 ₫,,256 GB
iPhone 12 Pro Max,Cũ đẹp,19.690.000 ₫,,128 GB
iPhone 12 Pro Max,Cũ đẹp,15.090.000 ₫,,128 GB
iPhone 11,Cũ đẹp,9.590.000 ₫,4 GB,256 GB
Samsung Galaxy Z Flip5,Đã kích hoạt,13.890.000 ₫,8 GB,512 GB
Samsung Galaxy S21 FE,Đã Kích Hoạt,9.690.000 ₫,8 GB,256 GB
Samsung Galaxy A13,Đã Kích Hoạt,3.490.000 ₫,4 GB,128 GB
iPhone 13 Pro,Đã kích hoạt,21.190.000 ₫,6 GB,128 GB
iPhone 13 Pro Max,Cũ xước cấn,,6 GB,128 GB
iPhone 12 Pro Max,Cũ đẹp,15.090.000 ₫,,128 GB
iPhone 11,Cũ trầy xước,8.790.000 ₫,4 GB,64 GB
Xiaomi Redmi Note 11 Pro,Đã kích hoạt,4.290.000 ₫,8 GB,128 GB
Samsung Galaxy A14,Đã kích hoạt,3.190.000 ₫,6 GB,256 GB
Samsung Galaxy M14,Đã kích hoạt,3.390.000 ₫,4 GB,128 GB
Xiaomi 11 Lite,Cũ đẹp,4.090.000 ₫,8 GB,128 GB
Xiaomi Mi 11T Pro,Cũ đẹp,5.890.000 ₫,12 GB,128 GB
Xiaomi Redmi 10C,Cũ trầy xước,1.690.000 ₫,4 GB,128 GB
Realme C30s,Đen - Đã kích hoạt,1.490.000 ₫,2 GB,32 GB
Samsung Galaxy A03s,Cũ xước cấn,1.590.000 ₫,4 GB,64 GB
Samsung Galaxy A33,Cũ trầy xước,3.590.000 ₫,8GB,
Samsung Galaxy S21 Ultra,Cũ trầy xước-Xanh Đen,9.390.000 ₫,12 GB,256 GB
Samsung Galaxy A7,Cũ,4.000.000 ₫,,128 GB
Infinix Hot 30,Cũ Đẹp,2.190.000 ₫,8GB + Mở rộng 8GB,256 GB
OnePlus 8T,Cũ Đẹp,6.090.000 ₫,12 GB,256 GB
Realme 11,Đã Kích Hoạt,4.190.000 ₫,8GB + Mở rộng 8GB,128 GB
TECNO SPARK 20C,Đã Kích Hoạt,1.990.000 ₫,4GB + Mở rộng 4GB,128 GB
OPPO A55,Cũ Trầy Xước,2.090.000 ₫,4 GB,64 GB
Nokia 110,Cũ trầy xước,400.000 ₫,,128 MB
OPPO Reno7,Đã kích hoạt,6.790.000 ₫,8 GB,256 GB
OPPO Reno7,Cũ Trầy Xước,3.590.000 ₫,8 GB,256 GB
OPPO Reno8 T,Cũ Đẹp,4.890.000 ₫,8 GB,128 GB
Realme 10,Cũ đẹp,3.390.000 ₫,8 GB,256 GB
Realme 10,Cũ Xước Cấn,2.990.000 ₫,8 GB,256 GB
Realme C35,Cũ Đẹp,2.890.000 ₫,4 GB,64 GB
Samsung Galaxy A23,Cũ Đẹp,3.490.000 ₫,8 GB,128 GB
Xiaomi Redmi 13C,Đã kích hoạt,2.590.000 ₫,6 GB,128 GB
VIVO Y17s,Đã kích hoạt,3.090.000 ₫,4 GB,128 GB
iPhone SE 2020,cũ đẹp,5.590.000 ₫,3 GB,128 GB
iPhone Xs Max,Cũ đẹp,8.690.000 ₫,,512 GB
iPhone 6s Plus,cũ đẹp,2.690.000 ₫,,16 GB
Samsung Galaxy S21 Ultra,Cũ Đẹp,12.990.000 ₫,12 GB,256 GB
Samsung Galaxy S21 Ultra,Đã kích hoạt,15.790.000 ₫,12 GB,128 GB
Samsung Galaxy S21 Ultra,Cũ đẹp,16.090.000 ₫,8 GB,128 GB
Samsung Galaxy S22,Đã Kích Hoạt,12.990.000 ₫,8 GB,256 GB
Samsung Galaxy S22,Cũ Xước Cấn,10.990.000 ₫,8 GB,256 GB
Samsung Galaxy S22 Plus,Đã kích hoạt,15.190.000 ₫,8 GB,128 GB
Samsung Galaxy S22 Plus,Cũ Đẹp,14.690.000 ₫,8 GB,256 GB
Samsung Galaxy S22 Ultra,Đã kích hoạt,21.390.000 ₫,12 GB,512 GB
Samsung Galaxy Z Flip4 Flex Mode Collection,Đã Kích Hoạt,15.290.000 ₫,8 GB,256 GB
Samsung Galaxy Z Flip5,Đã Kích Hoạt,14.690.000 ₫,8 GB,512 GB
Samsung Galaxy Z Flip,Cũ,6.690.000 ₫,8 GB,256 GB
Samsung Galaxy Z Fold2,,36.990.000 ₫,12 GB,256 GB
Samsung Galaxy Z Fold3,Đã kích hoạt,19.190.000 ₫,12 GB,256 GB
Samsung Galaxy Z Fold3,Đã kích hoạt,22.090.000 ₫,12 GB,512 GB
Samsung Galaxy Z Fold3,Cũ Trầy Xước,17.790.000 ₫,12 GB,512 GB
Samsung Galaxy Z Fold4,Đã Kích Hoạt,26.090.000 ₫,12 GB,256 GB
Samsung Galaxy Z Fold4,Đã Kích Hoạt,28.390.000 ₫,12 GB,512 GB
Samsung Galaxy Z Fold5,Đã Kích Hoạt,30.890.000 ₫,12 GB,1 TB
Samsung Galaxy Z Fold5,Cũ Trầy Xước,20.790.000 ₫,12 GB,256 GB
Vivo Y36,Đã Kích Hoạt,3.790.000 ₫,8 GB,128 GB
Xiaomi 12 Pro,Đã Kích Hoạt,9.490.000 ₫,12 GB,256 GB
Samsung Galaxy S24 Ultra,Đã Kích Hoạt,23.290.000 ₫,12 GB,256 GB
Samsung Galaxy Tab S7 FE,Đã kích hoạt,8.990.000 ₫,4 GB,64 GB
Samsung Galaxy Tab S7 FE,Đã kích hoạt,8.590.000 ₫,4 GB,64 GB
Samsung Galaxy Z Flip3,Cũ đẹp,9.990.000 ₫,8 GB,256 GB
Samsung Galaxy Z Flip4,Đã Kích Hoạt,11.190.000 ₫,8 GB,128 GB
Realme C55,Đã Kích Hoạt,3.690.000 ₫,8 GB,256 GB
Samsung Galaxy A01 Core,Cũ đẹp,1.290.000 ₫,1 GB,16 GB
Samsung Galaxy A03s,Cũ trầy xước,2.190.000 ₫,4 GB,64 GB
Samsung Galaxy A03,Cũ Đẹp,1.890.000 ₫,3 GB,32 GB
Samsung Galaxy A03,Cũ Trầy Xước,1.790.000 ₫,3 GB,32 GB
Samsung Galaxy A03s,Cũ đẹp,1.990.000 ₫,4 GB,64 GB
Samsung Galaxy A04s,Đã Kích Hoạt,2.490.000 ₫,4 GB,64 GB
Samsung Galaxy A73,Đã Kích Hoạt,8.590.000 ₫,8 GB,256 GB
Samsung Galaxy Fold Đã kích hoạt bảo hành,,19.930.000 ₫,12 GB,512 GB
Samsung Galaxy Fold,Cũ trầy xước,15.790.000 ₫,12 GB,512 GB
Samsung Galaxy A35,Đã kích hoạt,6.390.000 ₫,8 GB,128 GB
Samsung Galaxy A55,Đã kích hoạt,7.790.000 ₫,8 GB,128 GB
Samsung Galaxy A23,Cũ Đẹp,3.490.000 ₫,8 GB,128 GB
Xiaomi Redmi 13C,Đã kích hoạt,2.590.000 ₫,6 GB,128 GB
VIVO Y17s,Đã kích hoạt,3.090.000 ₫,4 GB,128 GB
iPhone 6s Plus,cũ đẹp,2.690.000 ₫,,16 GB
Infinix Hot 30,Cũ Đẹp,2.190.000 ₫,8GB + Mở rộng 8GB,256 GB
OnePlus 8T,Cũ Đẹp,6.090.000 ₫,12 GB,256 GB
Realme 11,Đã Kích Hoạt,4.190.000 ₫,8GB + Mở rộng 8GB,128 GB
TECNO SPARK 20C,Đã Kích Hoạt,1.990.000 ₫,4GB + Mở rộng 4GB,128 GB
OPPO A55,Cũ Trầy Xước,2.090.000 ₫,4 GB,64 GB
Nokia 110,Cũ trầy xước,400.000 ₫,,128 MB
OPPO Reno7,Đã kích hoạt,6.790.000 ₫,8 GB,256 GB
OPPO Reno7,Cũ Trầy Xước,3.590.000 ₫,8 GB,256 GB
OPPO Reno8 T,Cũ Đẹp,4.890.000 ₫,8 GB,128 GB
Realme 10,Cũ đẹp,3.390.000 ₫,8 GB,256 GB
Realme 10,Cũ Xước Cấn,2.990.000 ₫,8 GB,256 GB
Realme C35,Cũ Đẹp,2.890.000 ₫,4 GB,64 GB
iPhone SE 2020,cũ đẹp,5.590.000 ₫,3 GB,128 GB
Realme C55,Đã Kích Hoạt,3.690.000 ₫,8 GB,256 GB
Samsung Galaxy A01 Core,Cũ đẹp,1.290.000 ₫,1 GB,16 GB
Samsung Galaxy A03s,Cũ trầy xước,2.190.000 ₫,4 GB,64 GB
Samsung Galaxy A03,Cũ Đẹp,1.890.000 ₫,3 GB,32 GB
Samsung Galaxy A03,Cũ Trầy Xước,1.790.000 ₫,3 GB,32 GB
Samsung Galaxy A03s,Cũ đẹp,1.990.000 ₫,4 GB,64 GB
Samsung Galaxy A04s,Đã Kích Hoạt,2.490.000 ₫,4 GB,64 GB
Samsung Galaxy A12,Cũ trầy xước,2.390.000 ₫,4 GB,128 GB
Samsung Galaxy A12,Cũ xước cấn,2.090.000 ₫,4 GB,128 GB
Samsung Galaxy A12,Cũ trầy xước,2.790.000 ₫,6 GB,128 GB
Samsung Galaxy A13,Đã kích hoạt,3.290.000 ₫,4 GB,128 GB
Samsung Galaxy A32 Đã kích hoạt bảo hành,,3.890.000 ₫,6 GB,128 GB
Samsung Galaxy A32,Cũ trầy xước,3.390.000 ₫,6 GB,128 GB
Samsung Galaxy A33,Cũ Đẹp,5.090.000 ₫,6 GB,128 GB
Samsung Galaxy A73,Cũ Đẹp,5.990.000 ₫,8 GB,128 GB
Samsung Galaxy A73,Đã Kích Hoạt,8.590.000 ₫,8 GB,256 GB
Samsung Galaxy Fold Đã kích hoạt bảo hành,,19.930.000 ₫,12 GB,512 GB
Samsung Galaxy Fold,Cũ trầy xước,15.790.000 ₫,12 GB,512 GB
Nokia 110,Cũ đẹp,450.000 ₫,,128 MB
iPhone 13 Pro Max,Cũ trầy xước,18.890.000 ₫,6 GB,512 GB
Tecno Spark 10 Pro,Cũ Trầy Xước,2.090.000 ₫,8 GB,256 GB
Xiaomi 13T,Cũ Đẹp,8.190.000 ₫,12 GB,256 GB
Xiaomi 13T Pro,Cũ Đẹp,11.290.000 ₫,12 GB,512 GB
Xiaomi 13T Pro,Cũ Trầy Xước,10.590.000 ₫,12 GB,512 GB
Xiaomi 13T Pro,Cũ Xước Cấn,9.790.000 ₫,12 GB,512 GB
Xiaomi Mi 11 Lite,Cũ Xước Cấn,3.290.000 ₫,8 GB,128 GB
Xiaomi Redmi 9T,Trầy xước,3.090.000 ₫,6 GB,128 GB
Xiaomi Redmi Note 11,Cũ trầy xước,2.390.000 ₫,4 GB,128 GB
Xiaomi Redmi Note 11,Cũ đẹp,2.690.000 ₫,4 GB,128 GB
Xiaomi Redmi Note 11 Pro,Cũ Đẹp,6.090.000 ₫,8 GB,128 GB
Xiaomi Redmi Note 12 Pro,Cũ Đẹp,4.290.000 ₫,8 GB,256 GB
Xiaomi Redmi Note 13,Cũ Đẹp,3.490.000 ₫,6 GB,128 GB
ASUS ROG Phone 5,Cũ xước cấn,11.790.000 ₫,16 GB,256 GB
Samsung Galaxy Note 10,cũ,8.490.000 ₫,8 GB,256 GB
Samsung Galaxy Note 10 Lite,Cũ,4.890.000 ₫,8 GB,128 GB
Samsung Galaxy A14,Cũ Đẹp,2.890.000 ₫,4 GB,128 GB
Samsung Galaxy A15 LTE,Đã Kích Hoạt,3.490.000 ₫,8 GB,128 GB
Samsung Galaxy A21s,Cũ Xước Cấn,1.890.000 ₫,6 GB,64 GB
Samsung Galaxy A22,Đã kích hoạt,4.090.000 ₫,4 GB,128 GB
Samsung Galaxy A23,Cũ Đẹp,3.790.000 ₫,4 GB,128 GB
Samsung Galaxy A23,Cũ Trầy Xước,2.890.000 ₫,4 GB,128 GB
Samsung Galaxy A30s,Cũ đẹp,2.800.000 ₫,4 GB,64 GB
Samsung Galaxy A31 Đã kích hoạt bảo hành,,4.290.000 ₫,6 GB,128 GB
Xiaomi POCO X6 Pro,Đã Kích Hoạt,7.090.000 ₫,8 GB,256 GB
Samsung Galaxy A04s,Cũ Trầy Xước,1.790.000 ₫,4 GB,64 GB
Samsung Galaxy S23 FE,Đã Kích Hoạt,,8 GB,256 GB
iPhone 14 Pro Max,,29.990.000 ₫,6 GB,128 GB
Xiaomi Redmi A1,Đã kích hoạt,1.390.000 ₫,2 GB,32 GB
Xiaomi Redmi Note 11S,Cũ đẹp,2.990.000 ₫,6 GB,128 GB
Xiaomi 12,Cũ trầy xước,6.290.000 ₫,8 GB,256 GB
OPPO A57,Đã kích hoạt,3.190.000 ₫,4 GB,128 GB
OPPO A96,Đã kích hoạt,3.890.000 ₫,8 GB,128 GB
Samsung Galaxy A71,Cũ trầy xước,2.490.000 ₫,,128 GB
Samsung Galaxy Z Flip3,Cũ trầy xước,6.190.000 ₫,8 GB,256 GB
Realme 9 Pro,Xanh Dương - Đã kích hoạt,3.290.000 ₫,8 GB,128 GB
Realme 9 Pro,Cũ đẹp,2.990.000 ₫,8 GB,128 GB
Xiaomi 11 Lite,Đã kích hoạt,4.490.000 ₫,8 GB,128 GB
Xiaomi Redmi 10,Cũ trầy xước,2.490.000 ₫,4 GB,64 GB
Samsung Galaxy A03,Cũ Trầy Xước-Đen,2.590.000 ₫,3 GB,32 GB
Samsung Galaxy J4 Plus Đen,Cũ,1.800.000 ₫,,16 GB
Infinix Hot 30i,Cũ Đẹp,1.490.000 ₫,4GB + Mở rộng 4GB,128 GB
iPhone 12 Mini,Cũ đẹp,8.690.000 ₫,,128 GB
Tecno POVA 5,Đã Kích Hoạt,3.090.000 ₫,8 GB,128 GB
TECNO SPARK Go 2024,Đã Kích Hoạt,1.590.000 ₫,4GB + Mở rộng 4GB,64 GB
OPPO A77s,Đã Kích Hoạt,3.890.000 ₫,8 GB,128 GB
iPhone 14 Plus,Cũ đẹp,16.090.000 ₫,6 GB,128 GB
OPPO A18,Đã Kích Hoạt,2.990.000 ₫,4 GB,128 GB
OPPO A78,Đã Kích Hoạt,5.090.000 ₫,8 GB,256 GB
OPPO Reno7,Cũ Đẹp,5.790.000 ₫,8 GB,256 GB
iPhone 13,Cũ đẹp,13.590.000 ₫,4 GB,256 GB
Realme 10,Cũ Trầy Xước,3.290.000 ₫,8 GB,256 GB
Realme C30s,Cũ Đẹp,1.290.000 ₫,2 GB,32 GB
realme C51,Đã Kích Hoạt,2.190.000 ₫,3 GB,64 GB
Realme C30s,Cũ Đẹp,1.290.000 ₫,2 GB,32 GB
realme C51,Đã Kích Hoạt,2.190.000 ₫,3 GB,64 GB
iPhone XS,Cũ xước cấn,,,
iPhone Xs Max,Cũ xước cấn,8.090.000 ₫,,256 GB
iPhone Xs Max,Cũ trầy xước,,,256 GB
Realme C55,Cũ Đẹp,2.890.000 ₫,6 GB,128 GB
Realme C55,Đã Kích Hoạt,3.190.000 ₫,6 GB,128 GB
Samsung Galaxy A02s,Cũ Xước Cấn,1.090.000 ₫,3 GB,32 GB
Samsung Galaxy A03s Đã kích hoạt,,2.590.000 ₫,4 GB,64 GB
Samsung Galaxy A05,Cũ đẹp,2.090.000 ₫,4 GB,128 GB
Samsung Galaxy A05,Cũ Trầy Xước,1.790.000 ₫,4 GB,128 GB
Samsung Galaxy A12,Đã kích hoạt,2.990.000 ₫,4 GB,128 GB
Samsung Galaxy A12,Đã kích hoạt bảo hành,3.590.000 ₫,6 GB,128 GB
Samsung Galaxy A13,Cũ trầy xước,1.990.000 ₫,4 GB,128 GB
iPhone 6s,cũ đẹp,2.990.000 ₫,,128 GB
Samsung Galaxy A15 LTE,Cũ Đẹp,3.190.000 ₫,8 GB,128 GB
Samsung Galaxy A21s,Cũ Đẹp,2.290.000 ₫,6 GB,64 GB
Samsung Galaxy A22,Cũ Xước Cấn,3.290.000 ₫,6 GB,128 GB
Samsung Galaxy A22,Cũ trầy xước,2.490.000 ₫,6 GB,128 GB
