phone_name,condition1,oldprice,ram,rom
OPPO Find X5 Pro,Đã kích hoạt,13.590.000 ₫,12 GB,256 GB
iPhone 15 Pro Max,Cũ trầy xước,25.690.000 ₫,,256 GB
iPhone 15 Pro,Cũ đẹp,24.390.000 ₫,,256 GB
iPhone 8 Plus,cũ đẹp,5.590.000 ₫,,256 GB
iPhone 12 Mini,Cũ đẹp,7.690.000 ₫,,64 GB
iPhone 13 Mini,Cũ trầy xước,10.090.000 ₫,4 GB,128 GB
iPhone 11 Pro Max,Cũ đẹp,12.390.000 ₫,4 GB,512 GB
iPhone 8 Plus,Cũ trầy xước,5.090.000 ₫,,256 GB
Xiaomi Redmi Note 13 Pro,Cũ đẹp,4.790.000 ₫,8 GB,128 GB
iPhone Xs,Cũ trầy xước,6.290.000 ₫,,256 GB
iPhone 11 Pro,Cũ xước cấn,7.090.000 ₫,4 GB,64 GB
iPhone 11 Pro Max,Cũ trầy xước,11.190.000 ₫,4 GB,256 GB
iPhone Xs,Cũ đẹp,7.790.000 ₫,,512 GB
iPhone 14,Đã kích hoạt bảo hành,15.290.000 ₫,6 GB,128 GB
iPhone 12 Pro,Cũ trầy xước,12.390.000 ₫,,256 GB
iPhone 14 Pro,Cũ xước cấn,18.390.000 ₫,6 GB,256 GB
iPhone 15 Plus,Cũ Xước Cấn,17.390.000 ₫,,128 GB
iPhone 14 Pro Max,Cũ xước cấn,20.590.000 ₫,6 GB,128 GB
iPhone 12 Pro,Cũ đẹp,12.090.000 ₫,,128 GB
iPhone 13 Mini,Cũ đẹp,12.090.000 ₫,4 GB,256 GB
iPhone 13 Pro,Cũ đẹp,15.590.000 ₫,6 GB,128 GB
Sony Xperia 10V,Đã kích hoạt,7.390.000 ₫,,
OPPO Reno12 F,Đã kích hoạt,7.790.000 ₫,,
iPhone 13 Pro,Cũ trầy xước,14.590.000 ₫,6 GB,128 GB
iPhone XR,Cũ trầy xước,5.090.000 ₫,,64 GB
iPhone 11 Pro Max,Cũ đẹp,10.390.000 ₫,4 GB,64 GB
iPhone 11 Pro Max,Cũ trầy xước,9.690.000 ₫,4 GB,64 GB
iPhone Xs Max,Cũ trầy xước,6.590.000 ₫,,64 GB
iPhone 13 Pro Max,Cũ xước cấn,16.390.000 ₫,6 GB,256 GB
OPPO Reno12,Đã kích hoạt,10.590.000 ₫,,
iPhone XR,Cũ trầy xước,6.890.000 ₫,,256 GB
iPhone 11 Pro Max,Cũ xước cấn,10.390.000 ₫,4 GB,256 GB
iPhone 14 Pro Max,Cũ đẹp,23.590.000 ₫,,256 GB
iPhone 11,Cũ đẹp,6.990.000 ₫,4 GB,64 GB
OPPO Reno10 Pro Plus,Đã kích hoạt,11.990.000 ₫,12 GB,256 GB
iPhone 7 Plus,cũ trầy xước,4.090.000 ₫,,128 GB
iPhone XR,Cũ đẹp,6.190.000 ₫,,128 GB
Xiaomi 12T,Cũ Trầy Xước,6.090.000 ₫,8 GB,128 GB
Xiaomi 13 Lite,Cũ Đẹp,6.090.000 ₫,8 GB,256 GB
