brand,phone_name,condition1,condition2,oldprice,newprice,release,ram,rom
,Xiaomi Redmi Note 13 Pro Plus,Đã Kích Hoạt,,7.890.000đ,10.990.000đ,,8 GB,256 GB
,OPPO Reno10,Cũ Đẹp,,6.490.000đ,10.990.000đ,,8 GB,256 GB
,iPhone 12 Pro Max,Cũ đẹp,,16.790.000đ,37.990.000đ,,6 GB,512 GB
,Samsung Galaxy S23,Cũ Đẹp,,10.690.000đ,22.990.000đ,,8 GB,128 GB
,OPPO A58,Đã Kích Hoạt,,3.590.000đ,4.990.000đ,,6 GB,128 GB
,Samsung Galaxy A05,Đã Kích Hoạt,,2.390.000đ,3.090.000đ,,4 GB,128 GB
,Samsung Galaxy Z Flip5,Cũ Đẹp,,11.390.000đ,25.990.000đ,,8 GB,256 GB
,iPhone 11 Pro,Cũ đẹp,,9.890.000đ,28.000.000đ,,4 GB,256 GB
,Xiaomi 13 Pro,Cũ Đẹp,,15.590.000đ,29.990.000đ,,12 GB,256 GB
,iPhone 15,Đã Kích Hoạt,,20.590.000đ,25.990.000đ,,6 GB,256 GB
,iPhone 8,cũ đẹp,,3.290.000đ,,,,64 GB
,Xiaomi 12 Pro,Cũ Trầy Xước,,7.990.000đ,27.990.000đ,,12 GB,256 GB
,iPhone 13 mini,Cũ Đẹp,,10.790.000đ,21.990.000đ,,4 GB,128 GB
,iPhone 11,Cũ Trầy Xước,,7.490.000đ,13.990.000đ,,4 GB,128 GB
,Samsung Galaxy M34,Đã Kích Hoạt,,4.790.000đ,7.990.000đ,,8 GB,128 GB
,iPhone 12 Pro Max,Cũ Trầy Xước,,15.290.000đ,31.990.000đ,,,256 GB
,Xiaomi Redmi 14C,Đã Kích Hoạt,,2.590.000đ,3.290.000đ,,4 GB,128 GB
,iPhone 13 VN/A,đã kích hoạt,,12.990.000đ,18.990.000đ,,4 GB,128 GB
,Samsung Galaxy Note 10+,Cũ đẹp,,9.490.000đ,26.990.000đ,,12 GB,256 GB
,Xiaomi Redmi Note 13,Cũ Đẹp,,3.690.000đ,,,8 GB,128 GB
,iPhone XS,Cũ trầy xước,,5.290.000đ,22.000.000đ,,,64 GB
,Samsung Galaxy S24 Ultra,Đã Kích Hoạt,,23.290.000đ,33.990.000đ,,12 GB,256 GB
,iPhone 15,Đã Kích Hoạt,,17.790.000đ,22.990.000đ,,,128 GB
,Xiaomi 14 Ultra,Đã Kích Hoạt,,24.090.000đ,32.990.000đ,,16 GB,512 GB
,iPhone 15 Pro,Cũ Đẹp,,24.390.000đ,31.990.000đ,,,256 GB
,Samsung Galaxy Z Flip4,Cũ Đẹp,,7.790.000đ,23.990.000đ,,8 GB,128 GB
,iPhone 12,Cũ đẹp,,8.990.000đ,,,,64 GB
,Samsung Galaxy S22 Ultra,Cũ Trầy Xước,,13.090.000đ,33.990.000đ,,12 GB,256 GB
,Samsung Galaxy S23 Ultra,Cũ Đẹp,,19.790.000đ,36.990.000đ,,12 GB,512 GB
,iPhone 11 Pro,Cũ Trầy xước,,7.690.000đ,25.000.000đ,,4 GB,64 GB
,iPhone 12 Pro,Cũ Trầy Xước,,11.390.000đ,26.990.000đ,,,128 GB
,Apple iPhone 7 Plus,Cũ đẹp,,3.590.000đ,9.990.000đ,,,32 GB
,iPhone 13,Cũ trầy xước,,11.290.000đ,18.990.000đ,,4 GB,128 GB
,Apple iPhone 7 Plus,Cũ đẹp,,4.490.000đ,10.990.000đ,,,128 GB
,iPhone 14 Plus,Cũ Đẹp,,18.690.000đ,25.990.000đ,,6 GB,256 GB
,iPhone XR,Cũ đẹp,,6.190.000đ,16.990.000đ,,,128 GB
,OPPO Reno8 T,Cũ Đẹp,,4.790.000đ,,,8 GB,128 GB
,iPhone 14,Cũ Đẹp,,16.090.000đ,25.990.000đ,,6 GB,256 GB
,Samsung Galaxy S21 Ultra,Cũ trầy xước,,8.390.000đ,33.990.000đ,,12 GB,128 GB
,Infinix Note 40 Pro,Đã Kích Hoạt,,4.990.000đ,5.990.000đ,,8 GB,256 GB
,iPhone 14,Cũ Trầy Xước,,13.590.000đ,19.990.000đ,,6 GB,128 GB
,Samsung Galaxy Z Fold4,Cũ Trầy Xước,,15.090.000đ,40.990.000đ,,12 GB,256 GB
,Xiaomi 12T Pro,Cũ Xước Cấn,,7.490.000đ,16.990.000đ,,12 GB,256 GB
,iPhone 14 Pro,Đã Kích Hoạt,,20.390.000đ,27.990.000đ,,,128 GB
,Samsung Galaxy A05S,Đã Kích Hoạt,,2.990.000đ,3.990.000đ,,4 GB,128 GB
,OPPO A77s,Đã Kích Hoạt,,3.890.000đ,6.290.000đ,,8 GB,128 GB
,iPhone 15 Pro,Đã Kích Hoạt,,25.390.000đ,31.990.000đ,,,256 GB
,iPhone 13 Pro,Cũ Đẹp,,16.590.000đ,,,6 GB,256 GB
,iPhone 14,Đã Kích Hoạt,,15.290.000đ,19.990.000đ,,6 GB,128 GB
,Xiaomi Redmi Note 11 Pro,Cũ Đẹp,,3.890.000đ,7.490.000đ,,8 GB,128 GB
,Samsung Galaxy S24,Đã Kích Hoạt,,15.290.000đ,22.990.000đ,,8 GB,256 GB
,iPhone 13 Pro Max,Cũ Trầy Xước,,17.390.000đ,31.990.000đ,,6 GB,256 GB
,iPhone XS Max,Cũ trầy xước,,7.490.000đ,28.500.000đ,,,256 GB
,Nubia Neo 2,Đã Kích Hoạt,,3.990.000đ,5.490.000đ,,8 GB,256 GB
,Samsung Galaxy S21 Ultra,Cũ Xước Cấn,,8.590.000đ,33.990.000đ,,12 GB,256 GB
