brand,phone_name,oldprice,newprice,release,ram,rom,combined_condition
,iPhone 11,8.790.000 ₫,,,4 GB,64 GB,a_old 
,Xiaomi Redmi Note 11 Pro,4.290.000 ₫,,,8 GB,128 GB,a_new 
,Samsung Galaxy A14,3.190.000 ₫,,,6 GB,256 GB,a_new 
,Samsung Galaxy M14,3.390.000 ₫,,,4 GB,128 GB,a_new 
,Xiaomi 11 Lite,4.090.000 ₫,,,8 GB,128 GB,a_like_new 
,Xiaomi Mi 11T Pro,5.890.000 ₫,,,12 GB,128 GB,a_like_new 
,Xiaomi Redmi 10C,1.690.000 ₫,,,4 GB,128 GB,a_old 
,Realme C30s,1.490.000 ₫,,,2 GB,32 GB,a_new 
,Samsung Galaxy A03s,1.590.000 ₫,,,4 GB,64 GB,a_old 
,Samsung Galaxy A33,3.590.000 ₫,,,8GB,,a_old 
,Samsung Galaxy S21 Ultra,9.390.000 ₫,,,12 GB,256 GB,a_old 
,Samsung Galaxy A7,4.000.000 ₫,,,,128 GB,a_old 
,Infinix Hot 30,2.190.000 ₫,,,8GB + Mở rộng 8GB,256 GB,a_like_new 
,OnePlus 8T,6.090.000 ₫,,,12 GB,256 GB,a_like_new 
,Realme 11,4.190.000 ₫,,,8GB + Mở rộng 8GB,128 GB,a_new 
,TECNO SPARK 20C,1.990.000 ₫,,,4GB + Mở rộng 4GB,128 GB,a_new 
,OPPO A55,2.090.000 ₫,,,4 GB,64 GB,a_old 
,Nokia 110,400.000 ₫,,,,128 MB,a_old 
,OPPO Reno7,6.790.000 ₫,,,8 GB,256 GB,a_new 
,OPPO Reno7,3.590.000 ₫,,,8 GB,256 GB,a_old 
,OPPO Reno8 T,4.890.000 ₫,,,8 GB,128 GB,a_like_new 
,Realme 10,3.390.000 ₫,,,8 GB,256 GB,a_like_new 
,Realme 10,2.990.000 ₫,,,8 GB,256 GB,a_old 
,Realme C35,2.890.000 ₫,,,4 GB,64 GB,a_like_new 
,Samsung Galaxy A23,3.490.000 ₫,,,8 GB,128 GB,a_like_new 
,Xiaomi Redmi 13C,2.590.000 ₫,,,6 GB,128 GB,a_new 
,VIVO Y17s,3.090.000 ₫,,,4 GB,128 GB,a_new 
,iPhone SE 2020,5.590.000 ₫,,,3 GB,128 GB,a_like_new 
,iPhone Xs Max,8.690.000 ₫,,,,512 GB,a_like_new 
,iPhone 6s Plus,2.690.000 ₫,,,,16 GB,a_like_new 
,Samsung Galaxy S21 Ultra,12.990.000 ₫,,,12 GB,256 GB,a_like_new 
,Samsung Galaxy S21 Ultra,15.790.000 ₫,,,12 GB,128 GB,a_new 
,Samsung Galaxy S21 Ultra,16.090.000 ₫,,,8 GB,128 GB,a_like_new 
,Samsung Galaxy S22,12.990.000 ₫,,,8 GB,256 GB,a_new 
,Samsung Galaxy S22,10.990.000 ₫,,,8 GB,256 GB,a_old 
,Samsung Galaxy S22 Plus,15.190.000 ₫,,,8 GB,128 GB,a_new 
,Samsung Galaxy S22 Plus,14.690.000 ₫,,,8 GB,256 GB,a_like_new 
,Samsung Galaxy S22 Ultra,21.390.000 ₫,,,12 GB,512 GB,a_new 
,Samsung Galaxy Z Flip4 Flex Mode Collection,15.290.000 ₫,,,8 GB,256 GB,a_new 
,Samsung Galaxy Z Flip5,14.690.000 ₫,,,8 GB,512 GB,a_new 
,Samsung Galaxy Z Flip,6.690.000 ₫,,,8 GB,256 GB,a_old 
,Samsung Galaxy Z Fold2,36.990.000 ₫,,,12 GB,256 GB, 
,Samsung Galaxy Z Fold3,19.190.000 ₫,,,12 GB,256 GB,a_new 
,Samsung Galaxy Z Fold3,22.090.000 ₫,,,12 GB,512 GB,a_new 
,Samsung Galaxy Z Fold3,17.790.000 ₫,,,12 GB,512 GB,a_old 
,Samsung Galaxy Z Fold4,26.090.000 ₫,,,12 GB,256 GB,a_new 
,Samsung Galaxy Z Fold4,28.390.000 ₫,,,12 GB,512 GB,a_new 
,Samsung Galaxy Z Fold5,30.890.000 ₫,,,12 GB,1 TB,a_new 
,Samsung Galaxy Z Fold5,20.790.000 ₫,,,12 GB,256 GB,a_old 
,Vivo Y36,3.790.000 ₫,,,8 GB,128 GB,a_new 
,Xiaomi 12 Pro,9.490.000 ₫,,,12 GB,256 GB,a_new 
,Samsung Galaxy S24 Ultra,23.290.000 ₫,,,12 GB,256 GB,a_new 
,Samsung Galaxy Tab S7 FE,8.990.000 ₫,,,4 GB,64 GB,a_new 
,Samsung Galaxy Tab S7 FE,8.590.000 ₫,,,4 GB,64 GB,a_new 
,Samsung Galaxy Z Flip3,9.990.000 ₫,,,8 GB,256 GB,a_like_new 
,Samsung Galaxy Z Flip4,11.190.000 ₫,,,8 GB,128 GB,a_new 
,Realme C55,3.690.000 ₫,,,8 GB,256 GB,a_new 
,Samsung Galaxy A01 Core,1.290.000 ₫,,,1 GB,16 GB,a_like_new 
,Samsung Galaxy A03s,2.190.000 ₫,,,4 GB,64 GB,a_old 
,Samsung Galaxy A03,1.890.000 ₫,,,3 GB,32 GB,a_like_new 
,Samsung Galaxy A03,1.790.000 ₫,,,3 GB,32 GB,a_old 
