brand,phone_name,oldprice,newprice,release,ram,rom,combined_condition
,iPhone 12 Pro,12.190.000đ,28.990.000đ,,,128 GB,a_old 
,vivo Y38,4.990.000đ,,,8 GB,256 GB,a_new 
,OPPO A79,5.390.000đ,7.990.000đ,,8 GB,256 GB,a_like_new 
,realme C61,2.890.000đ,3.590.000đ,,4 GB,128 GB,a_new 
,Samsung Galaxy Z Fold5,22.790.000đ,44.990.000đ,,12 GB,1 TB,a_old 
,Samsung Galaxy Z Flip4,8.290.000đ,25.990.000đ,,8 GB,512 GB,a_old 
,Samsung Galaxy A23,2.590.000đ,,,6 GB,128 GB,a_old 
,Samsung Galaxy S23 FE,7.990.000đ,14.890.000đ,,8 GB,128 GB,a_old 
,iPhone 12 Pro Max,18.590.000đ,31.990.000đ,,,256 GB,a_like_new 
,Samsung Galaxy Z Fold5,22.790.000đ,44.990.000đ,,12 GB,512 GB,a_old 
,Xiaomi 13 Lite,4.590.000đ,11.490.000đ,,8 GB,128 GB,a_old 
,Samsung Galaxy S23 Ultra,17.290.000đ,31.990.000đ,,8 GB,256 GB,a_like_new 
,OPPO Reno11 Pro,9.890.000đ,16.090.000đ,,12 GB,512 GB,a_old 
,TECNO SPARK 20PRO+,3.290.000đ,5.490.000đ,,8GB + Mở rộng 8GB,256 GB,a_old 
,Xiaomi 13T,9.090.000đ,12.990.000đ,,12 GB,256 GB,a_new 
,Tecno Pova 6 Neo,3.390.000đ,4.590.000đ,,8 GB,128 GB,a_new 
,Điện thoại Tecno Camon 30,3.890.000đ,6.490.000đ,,8 GB,256 GB,a_old 
,Xiaomi 13T Pro,11.290.000đ,16.990.000đ,,12 GB,512 GB,a_like_new 
,ASUS ROG Phone 6,12.190.000đ,18.990.000đ,,12 GB,256 GB,a_new 
,iPhone SE 2020,4.590.000đ,10.990.000đ,,3 GB,64 GB,a_like_new 
,Samsung Galaxy Note 20 Ultra,8.690.000đ,,,8 GB,256 GB,a_like_new 
,Xiaomi 13T Pro,12.290.000đ,16.990.000đ,,12 GB,512 GB,a_new 
