brand,phone_name,oldprice,newprice,release,ram,rom,combined_condition
,iPhone Xs,7.790.000 ₫,,,,512 GB,a_like_new 
,iPhone 14,15.290.000 ₫,,,6 GB,128 GB,a_new 
,iPhone 12 Pro,12.390.000 ₫,,,,256 GB,a_old 
,iPhone 14 Pro,18.390.000 ₫,,,6 GB,256 GB,a_old 
,iPhone 15 Plus,17.390.000 ₫,,,,128 GB,a_old 
,iPhone 14 Pro Max,20.590.000 ₫,,,6 GB,128 GB,a_old 
,iPhone 12 Pro,12.090.000 ₫,,,,128 GB,a_like_new 
,iPhone 13 Mini,12.090.000 ₫,,,4 GB,256 GB,a_like_new 
,iPhone 13 Pro,15.590.000 ₫,,,6 GB,128 GB,a_like_new 
,Sony Xperia 10V,7.390.000 ₫,,,,,a_new 
,OPPO Reno12 F,7.790.000 ₫,,,,,a_new 
,iPhone 13 Pro,14.590.000 ₫,,,6 GB,128 GB,a_old 
,iPhone XR,5.090.000 ₫,,,,64 GB,a_old 
,iPhone 11 Pro Max,10.390.000 ₫,,,4 GB,64 GB,a_like_new 
,iPhone 11 Pro Max,9.690.000 ₫,,,4 GB,64 GB,a_old 
,iPhone Xs Max,6.590.000 ₫,,,,64 GB,a_old 
,iPhone 13 Pro Max,16.390.000 ₫,,,6 GB,256 GB,a_old 
,OPPO Reno12,10.590.000 ₫,,,,,a_new 
,iPhone XR,6.890.000 ₫,,,,256 GB,a_old 
,iPhone 11 Pro Max,10.390.000 ₫,,,4 GB,256 GB,a_old 
,iPhone 14 Pro Max,23.590.000 ₫,,,,256 GB,a_like_new 
,iPhone 11,6.990.000 ₫,,,4 GB,64 GB,a_like_new 
,OPPO Reno10 Pro Plus,11.990.000 ₫,,,12 GB,256 GB,a_new 
,iPhone 7 Plus,4.090.000 ₫,,,,128 GB,a_old 
,iPhone XR,6.190.000 ₫,,,,128 GB,a_like_new 
,Xiaomi 12T,6.090.000 ₫,,,8 GB,128 GB,a_old 
,Xiaomi 13 Lite,6.090.000 ₫,,,8 GB,256 GB,a_like_new 
,Xiaomi 13T,9.090.000 ₫,,,12 GB,256 GB,a_new 
,Xiaomi Redmi Note 13,3.790.000 ₫,,,6 GB,128 GB,a_new 
,Xiaomi Redmi Note 13 Pro Plus,7.890.000 ₫,,,8 GB,256 GB,a_new 
,iPhone 11,8.990.000 ₫,,,4 GB,256 GB,a_like_new 
,Samsung Galaxy S21 FE,6.890.000 ₫,,,8 GB,128 GB,a_like_new 
,Samsung Galaxy S22 Plus,8.990.000 ₫,,,8 GB,128 GB,a_old 
,Samsung Galaxy S22 Ultra,15.090.000 ₫,,,12 GB,512 GB,a_like_new 
,Samsung Galaxy S22 Ultra,13.090.000 ₫,,,8 GB,128 GB,a_like_new 
,Samsung Galaxy S22 Ultra,11.590.000 ₫,,,8 GB,128 GB,a_old 
,Samsung Galaxy Z Flip5,11.390.000 ₫,,,8 GB,256 GB,a_like_new 
,Samsung Galaxy Z Flip5,12.590.000 ₫,,,8 GB,256 GB,a_new 
,Samsung Galaxy Z Fold3,11.490.000 ₫,,,12 GB,256 GB,a_old 
,Samsung Galaxy Z Fold3,13.490.000 ₫,,,12 GB,512 GB,a_like_new 
,Samsung Galaxy Z Fold4,14.090.000 ₫,,,12 GB,256 GB,a_old 
,Samsung Galaxy Z Fold5,22.790.000 ₫,,,12 GB,512 GB,a_like_new 
,Vivo X70 Pro,7.390.000 ₫,,,12 GB,256 GB,a_like_new 
,Samsung Galaxy S23 Ultra,19.790.000 ₫,,,12 GB,512 GB,a_like_new 
,Samsung Galaxy S24,15.590.000 ₫,,,8 GB,256 GB,a_new 
,Samsung Galaxy Z Flip4,7.790.000 ₫,,,8 GB,128 GB,a_like_new 
,iPhone 12,8.990.000 ₫,,,,64 GB,a_like_new 
,iPhone 14 Pro,20.390.000 ₫,,,6 GB,256 GB,a_like_new 
,iPhone 14 Pro,18.390.000 ₫,,,6 GB,256 GB,a_old 
,Samsung Galaxy A73,5.490.000 ₫,,,8 GB,128 GB,a_old 
