brand,phone_name,oldprice,newprice,release,ram,rom,combined_condition
,Vivo Y16,1.790.000đ,4.490.000đ,,4GB + Mở rộng 1GB,128 GB,a_old 
,Oneplus 10T,9.490.000đ,17.990.000đ,,16 GB,256 GB,a_like_new 
,Redmi A2,1.290.000đ,2.190.000đ,,2 GB,32 GB,a_like_new 
,iPhone 13 Pro,Giá Liên Hệ,23.990.000đ,,6 GB,128 GB,a_old 
,Nokia G21,2.090.000đ,4.290.000đ,,6 GB,128 GB,a_old 
,Xiaomi Mi 11 Lite,4.990.000đ,9.490.000đ,,8 GB,128 GB,a_like_new 
,Nokia 105,350.000đ,680.000đ,,,128 MB,a_old 
,Xiaomi POCO M5,2.090.000đ,4.290.000đ,,4 GB,64 GB,a_old 
,Samsung Galaxy S21 FE,5.890.000đ,16.990.000đ,,8 GB,128 GB,a_old 
,realme C51,2.490.000đ,3.290.000đ,,4GB + Mở rộng 4GB,64 GB,a_new 
,Masstel Lux 20,300.000đ,500.000đ,,,128 MB,a_old 
,Samsung Galaxy A33,3.590.000đ,7.290.000đ,,6 GB,128 GB,a_old 
,Samsung Galaxy Z Fold4,17.490.000đ,40.990.000đ,,12 GB,256 GB,a_new 
,Samsung Galaxy A35,6.090.000đ,8.290.000đ,,8 GB,256 GB,a_like_new 
,Samsung Galaxy A23,2.890.000đ,5.990.000đ,,4 GB,128 GB,a_old 
,Infinix Hot 40 Pro Free Fire,Giá Liên Hệ,4.290.000đ,,8 GB,256 GB,a_like_new 
,vivo Y17s,2.290.000đ,3.790.000đ,,4 GB,64 GB,a_like_new 
,Oppo A15s,1.890.000đ,4.290.000đ,,4 GB,64 GB,a_old 
,Samsung Galaxy M14,2.390.000đ,5.290.000đ,,4 GB,64 GB,a_old 
,Samsung Galaxy S23 FE,7.090.000đ,14.890.000đ,,8 GB,128 GB,a_old 
,Samsung Galaxy S22 Ultra,14.090.000đ,36.990.000đ,,12 GB,512 GB,a_old 
,realme C51,2.190.000đ,4.490.000đ,,6 GB,256 GB,a_old 
,Vivo Y12s,1.590.000đ,3.290.000đ,,3 GB,32 GB,a_like_new 
,Realme C55,2.290.000đ,4.990.000đ,,6 GB,128 GB,a_old 
,Vivo Y02t,1.890.000đ,2.990.000đ,,4 GB,64 GB,a_new 
,iPhone 13,17.790.000đ,24.990.000đ,,4 GB,128 GB,a_old 
,vivo Y22S,2.690.000đ,5.290.000đ,,4 GB,128 GB,a_like_new 
,Samsung Galaxy A73,5.490.000đ,12.990.000đ,,8 GB,256 GB,a_old 
,OPPO A16,1.790.000đ,3.990.000đ,,4 GB,64 GB,a_old 
,Vivo Y21S,2.090.000đ,4.990.000đ,,4 GB,128 GB,a_old 
,Samsung Galaxy S22 Plus,13.990.000đ,25.990.000đ,,8 GB,128 GB,a_new 
,Xiaomi Redmi Note 12,3.090.000đ,4.990.000đ,,8 GB,256 GB,a_old 
,OPPO Reno7 Z,2.990.000đ,9.990.000đ,,8 GB,128 GB,a_old 
,Vivo Y53S,2.790.000đ,6.990.000đ,,8 GB,128 GB,a_old 
,Samsung Galaxy A72,5.590.000đ,11.490.000đ,,8 GB,256 GB,a_new 
,iPhone 11,8.990.000đ,19.990.000đ,,4 GB,256 GB,a_old 
,iPhone 14 Plus,Giá Liên Hệ,22.990.000đ,,6 GB,128 GB,a_new 
,Masstel izi S3,300.000đ,470.000đ,,,16 GB,a_old 
,iPhone 14,23.390.000đ,33.990.000đ,,6 GB,512 GB,a_new 
,Realme C30s,1.990.000đ,2.690.000đ,,3 GB,64 GB,a_new 
,Xiaomi 12 Pro,7.690.000đ,27.990.000đ,,12 GB,256 GB,a_old 
,Samsung Galaxy S21 FE,5.690.000đ,11.490.000đ,,6 GB,128 GB,a_old 
,Samsung Galaxy Z Flip4 FMC,8.090.000đ,25.990.000đ,,8 GB,256 GB,a_old 
,Xiaomi 13T,7.590.000đ,12.990.000đ,,12 GB,256 GB,a_old 
,iPhone SE 2020,4.390.000đ,10.990.000đ,,3 GB,64 GB,a_old 
,Realme C33,3.490.000đ,3.490.000đ,,3 GB,32 GB,a_new 
,Infinix Hot 40i,1.990.000đ,3.190.000đ,,8 GB,256 GB,a_like_new 
,Xiaomi 13 Lite,7.490.000đ,11.490.000đ,,8 GB,128 GB,a_new 
,Vsmart Star 4,1.490.000đ,2.290.000đ,,2 GB,32 GB,a_like_new 
,Xiaomi Redmi Note 12S,3.390.000đ,6.690.000đ,,8 GB,256 GB,a_old 
,vivo Y22S,2.390.000đ,5.290.000đ,,4 GB,128 GB,a_old 
,OPPO A18,1.990.000đ,3.290.000đ,,4 GB,64 GB,a_old 
,Samsung Galaxy A04,1.690.000đ,2.990.000đ,,3 GB,32 GB,a_old 
,Infinix Hot 40i,Giá Liên Hệ,2.390.000đ,,4 GB,128 GB,a_old 
,OPPO Reno8 Pro,6.190.000đ,18.990.000đ,,12 GB,256 GB,a_old 
,OPPO Reno8 Pro,6.190.000đ,18.990.000đ,,12 GB,256 GB,a_old 
,OPPO A95,3.590.000đ,6.990.000đ,,8 GB,128 GB,a_like_new 
,Samsung Galaxy S23,10.090.000đ,24.990.000đ,,8 GB,256 GB,a_old 
,Samsung Galaxy A34,3.940.000đ,8.490.000đ,,8 GB,128 GB,a_old 
,realme Note 60,2.390.000đ,3.090.000đ,,4 GB,64 GB,a_new 
,iPhone 14 Pro,25.490.000đ,30.990.000đ,,,128 GB,a_new 
,iPhone 14 Pro Max,Giá Liên Hệ,32.990.000đ,,,256 GB,a_new 
,iPhone 11 Pro,10.990.000đ,28.000.000đ,,4 GB,256 GB,a_old 
,Xiaomi Mi 11T Pro,8.790.000đ,14.990.000đ,,,,a_new 
,Infinix Hot 40 Pro Free Fire,2.490.000đ,4.290.000đ,,8 GB,256 GB,a_old 
,Infinix Hot 30i,Giá Liên Hệ,2.790.000đ,,4GB + Mở rộng 4GB,128 GB,a_old 
,Realme Note 50,1.490.000đ,2.790.000đ,,3 GB,64 GB,a_old 
,iPhone 12 Pro Max,Giá Liên Hệ,28.990.000đ,,,128 GB,a_old 
,iPhone 14,Giá Liên Hệ,19.990.000đ,,6 GB,128 GB,a_old 
,FALSE,Giá Liên Hệ,44.990.000đ,,12 GB,512 GB, 
,iPhone 15 Pro Max,Giá Liên Hệ,40.990.000đ,,,512 GB,a_new 
,Xiaomi 13T,6.690.000đ,12.990.000đ,,8 GB,256 GB,a_old 
,Realme C35,2.590.000đ,4.990.000đ,,4 GB,128 GB,a_like_new 
,Xiaomi Poco X3 GT,3.590.000đ,7.990.000đ,,8 GB,128 GB,a_old 
,Samsung Galaxy A35,4.990.000đ,8.290.000đ,,8 GB,128 GB,a_old 
,Honor X7B,3.190.000đ,3.490.000đ,,8 GB,256 GB,a_old 
,Honor X7B,3.190.000đ,3.490.000đ,,8 GB,256 GB,a_old 
,Itel S23,Giá Liên Hệ,3.490.000đ,,8 GB,128 GB,a_old 
,Điện thoại Tecno Camon 30,Giá Liên Hệ,6.990.000đ,,12 GB,256 GB,a_old 
,vivo V29E,5.090.000đ,8.990.000đ,,8 GB,256 GB,a_old 
,Realme 9 Pro Plus,3.990.000đ,6.990.000đ,,8 GB,128 GB,a_like_new 
,iPhone 12 Pro Max,26.490.000đ,36.990.000đ,,,128 GB,a_new 
,Samsung Galaxy A15 LTE,3.190.000đ,4.990.000đ,,8 GB,256 GB,a_old 
,Xiaomi Redmi 12,1.990.000đ,2.490.000đ,,4 GB,128 GB,a_old 
,Xiaomi Redmi 13C,Giá Liên Hệ,3.490.000đ,,6 GB,128 GB,a_old 
,Xiaomi Poco F4,4.290.000đ,9.990.000đ,,8 GB,256 GB,a_old 
,Xiaomi Redmi Note 12S,2.890.000đ,6.690.000đ,,8 GB,256 GB,a_old 
,Samsung Galaxy M15,3.290.000đ,5.890.000đ,,6 GB,128 GB,a_like_new 
,Điện thoại Itel RS4,3.090.000đ,3.990.000đ,,8 GB,256 GB,a_new 
,Samsung Galaxy S23,10.490.000đ,24.990.000đ,,8 GB,256 GB,a_old 
,iPhone 14 Plus,Giá Liên Hệ,22.990.000đ,,6 GB,128 GB,a_new 
,Xiaomi Mi 11 Lite,4.790.000đ,7.990.000đ,,8 GB,128 GB,a_old 
,iPhone 14 Pro Max,Giá Liên Hệ,32.990.000đ,,,256 GB,a_new 
,iPhone 14 Pro,Giá Liên Hệ,27.990.000đ,,,512 GB,a_old 
,TCL 40SE,2.590.000đ,3.990.000đ,,6 GB,256 GB,a_new 
,Xiaomi Redmi Note 13 Pro,5.390.000đ,6.390.000đ,,8 GB,256 GB,a_new 
,iPhone 14 Pro,Giá Liên Hệ,27.990.000đ,,,128 GB,a_new 
,Nokia C21 Plus,690.000đ,2.990.000đ,,3 GB,32 GB,a_old 
,Nubia Red Magic 7 Pusar,11.290.000đ,21.990.000đ,,16 GB,256 GB,a_old 
,iPhone 14 Pro,Giá Liên Hệ,29.990.000đ,,6 GB,256 GB,a_new 
,iPhone 14 Pro,Giá Liên Hệ,27.990.000đ,,,128 GB,a_new 
,Tecno Spark 10,1.890.000đ,3.590.000đ,,8 GB,128 GB,a_old 
,iPhone 13,Giá Liên Hệ,26.290.000đ,,4 GB,512 GB,a_old 
,OPPO Reno12,8.890.000đ,12.990.000đ,,12 GB,256 GB,a_old 
,Xiaomi Redmi Note 13 Pro,4.390.000đ,6.390.000đ,,8 GB,256 GB,a_old 
,ASUS ROG Phone 7 Ultimate,17.790.000đ,29.990.000đ,,16 GB,512 GB,a_old 
,iPhone 15 Pro Max,36.490.000đ,46.990.000đ,,,1 TB,a_new 
,Xiaomi Redmi 10A,1.590.000đ,2.890.000đ,,3 GB,64 GB,a_old 
,Samsung Galaxy A25,Giá Liên Hệ,6.590.000đ,,6 GB,128 GB,a_old 
,Samsung Galaxy A33,3.990.000đ,7.290.000đ,,8 GB,128 GB,a_old 
,Samsung Galaxy A33,3.990.000đ,7.290.000đ,,8 GB,128 GB,a_old 
,Samsung Galaxy A52,2.790.000đ,9.290.000đ,,8 GB,128 GB,a_old 
,Samsung Galaxy A23,3.190.000đ,5.990.000đ,,6 GB,128 GB,a_old 
,Samsung Galaxy S23 Ultra,15.290.000đ,31.990.000đ,,8 GB,256 GB,a_old 
,iPhone 15 Pro Max,25.490.000 ₫,29.990.000 ₫,,,,a_like_new 
,iPhone 15 Pro,20.190.000 ₫,26.990.000 ₫,,,,a_like_new 
,iPhone 15 Plus,18.290.000 ₫,23.990.000 ₫,,,,a_like_new 
Apple,iPhone 14 Pro Max,21.290.000 ₫,33.990.000 ₫,,6GB,128GB,a_like_new 
Apple,iPhone 14 Pro Max,22.290.000 ₫,33.990.000 ₫,,6GB,128GB,a_like_new 
,iPhone 14 Pro,17.990.000 ₫,31.990.000 ₫,,6GB,128GB,a_like_new 
,iPhone 14 Plus,14.490.000 ₫,31.990.000 ₫,,6 GB,256 GB,a_like_new 
,iPhone 14,12.490.000 ₫,17.990.000 ₫,,6 GB,128GB,a_like_new 
,iPhone 13 Pro Max,15.990.000 ₫,27.490.000 ₫,,,128 GB,a_like_new 
,iPhone 13 Pro,14.190.000 ₫,20.590.000 ₫,,,128 GB,a_like_new 
,iPhone 12 Pro Max,13.490.000 ₫,Liên hệ,,6 GB,128 GB,a_like_new 
Apple,iPhone 12 Pro Max,14.190.000 ₫,33.990.000 ₫,,6 GB,256 GB,a_like_new 
,iPhone 12 Pro,10.290.000 ₫,32.990.000 ₫,,6 GB,128 GB,a_like_new 
,iPhone 12,7.990.000 ₫,24.990.000 ₫,,4 GB,64 GB,a_like_new 
,Samsung Galaxy S24,11.990.000 ₫,22.990.000 ₫,,8GB,128GB,a_like_new 
,iPhone 11 Pro Max,9.290.000 ₫,20.400.000 ₫,,4 GB,64 GB,a_like_new 
,Samsung Galaxy S24 Plus,15.790.000 ₫,26.990.000 ₫,,12GB,256GB,a_like_new 
,iPhone 11 Pro,7.590.000 ₫,17.990.000 ₫,,4 GB,64 GB,a_like_new 
,iPhone 11,6.490.000 ₫,Liên hệ,,4 GB,64 GB,a_like_new 
Samsung,Samsung Galaxy S22 Ultra,11.490.000 ₫,30.990.000 ₫,,8Gb,128 GB,a_like_new 
,iPhone 11 Pro Max,10.290.000 ₫,23.990.000 ₫,,4 GB,256 GB,a_like_new 
Samsung,Samsung Galaxy S23,9.690.000 ₫,24.990.000 ₫,,8Gb,128 GB,a_like_new 
,iPhone Xs MAX,7.290.000 ₫,12.990.000 ₫,,4 GB,64 GB,a_like_new 
,Samsung Galaxy S23 FE Cũ Đẹp,8.290.000 ₫,Liên hệ,,8GB,128GB, 
Apple,iPhone Xs,5.290.000 ₫,Liên hệ,,4GB,64 GB,a_like_new 
,iPhone 13,11.190.000 ₫,24.490.000 ₫,,,128 GB,a_like_new 
Apple,iPhone XR,5.190.000 ₫,11.190.000 ₫,,3 GB,64 GB,a_like_new 
,Samsung Galaxy S21 Ultra,8.290.000 ₫,Liên hệ,,12 GB,128GB,a_like_new 
,Samsung Galaxy S21,5.890.000 ₫,Liên hệ,,8 GB,128 GB,a_like_new 
,Samsung Galaxy S21 Plus,6.790.000 ₫,25.990.000 ₫,,8 GB,128 GB,a_like_new 
Apple,iPhone 14 Pro Max Lock,16.590.000 ₫,33.990.000 ₫,,6GB,128GB, 
Apple,iPhone 8,3.190.000 ₫,6.490.000 ₫,,2GB,64 GB,a_like_new 
Apple,iPhone 8,3.390.000 ₫,6.490.000 ₫,,2GB,64 GB,a_like_new 
Apple,iPhone 8 Plus,4.190.000 ₫,8.490.000 ₫,,3 GB,64 GB,a_like_new 
Apple,iPhone 12,8.590.000 ₫,19.990.000 ₫,,4 GB,128GB,a_like_new 
,iPhone 11 Pro,8.490.000 ₫,18.990.000 ₫,,4 GB,256 GB,a_like_new 
,iPhone 13 Lock,8.390.000 ₫,24.490.000 ₫,,,128 GB,a_like_new 
Apple,iPhone 11,7.490.000 ₫,15.790.000 ₫,,4 GB,128 GB,a_like_new 
Apple,iPhone Xs,5.690.000 ₫,7.490.000 ₫,,4GB,256 GB,a_like_new 
Samsung,Samsung Galaxy S21 FE,5.190.000 ₫,16.990.000 ₫,,6GB,128GB,a_like_new 
Apple,iPhone Xs MAX,7.990.000 ₫,15.390.000 ₫,,4 GB,256 GB,a_like_new 
,Apple iPhone 7,2.590.000 ₫,4.290.000 ₫,,2GB,32 GB,a_like_new 
,iPhone 13 Pro,14.590.000 ₫,20.590.000 ₫,,,256 GB,a_like_new 
Apple,iPhone XR,5.790.000 ₫,11.490.000 ₫,,3 GB,128 GB,a_like_new 
Apple,iPhone X,5.390.000 ₫,12.190.000 ₫,,3 GB,256 GB,a_like_new 
,iPhone 13 Pro Max,16.990.000 ₫,34.990.000 ₫,,,128 GB,a_like_new 
,iPhone 13,12.790.000 ₫,24.490.000 ₫,,,128 GB,a_like_new 
,iPhone 14 Lock,9.990.000 ₫,21.490.000 ₫,,,, 
,iPhone 14 Plus,15.690.000 ₫,31.990.000 ₫,,6 GB,256 GB,a_like_new 
,iPhone 15 Plus,20.390.000 ₫,23.990.000 ₫,,,,a_like_new 
Apple,Apple iPhone 7 plus,3.690.000 ₫,5.990.000 ₫,,3 GB,32 GB,a_like_new 
